Shop Name,Links,S_type,S_rating_count,S_score,S_follower,S_variation,S_responserate_percent,S_responsetime,S_location,S_joined_month,Product_Name,P_price,Qsold,P_score,P_rating_count,P_fav_count,total_comments,t_pos_comments,t_neg_comments,PP,EPP
supermarket_by_shopee,https://shopee.co.th/Nescafe-Gold-AuLait-%E0%B9%80%E0%B8%99%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B8%94%E0%B9%8C-%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88-%E0%B9%82%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%97%E0%B9%8C-(%E0%B9%81%E0%B8%9E%E0%B9%87%E0%B8%84-15)-i.138020609.4117835105,Official Mall,1200000,4.9,126500,6900,100,within minutes,จังหวัดสมุทรปราการ,25.0,Nescafe Gold AuLait เนสกาแฟโกลด์ คาเฟ่ โอเลท์ (แพ็ค 15),99,900,4.9,278,95,114,113,1,0.9912280701754390,0.12555555555555600
supermarket_by_shopee,https://shopee.co.th/Nescafe-Gold-Crema-%E0%B9%80%E0%B8%99%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B8%94%E0%B9%8C-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%A1%E0%B8%B2-%E0%B8%94%E0%B8%AD%E0%B8%A2-100-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-i.138020609.3317931118,Official Mall,1200000,4.9,126500,6900,100,within minutes,จังหวัดสมุทรปราการ,25.0,Nescafe Gold Crema เนสกาแฟโกลด์ เครมา ดอย 100 กรัม,125,1400,4.9,514,123,270,265,5,0.9814814814814820,0.18928571428571400
supermarket_by_shopee,https://shopee.co.th/Nescafe-Gold-Crema-%E0%B9%80%E0%B8%99%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B9%8C%E0%B8%94-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%A1%E0%B8%B2-%E0%B8%AA%E0%B8%A1%E0%B8%B9%E0%B8%97-100-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-i.138020609.4217835228,Official Mall,1200000,4.9,126500,6900,100,within minutes,จังหวัดสมุทรปราการ,25.0,Nescafe Gold Crema เนสกาแฟโกล์ด เครมา สมูท 100 กรัม,140,415,4.9,223,151,102,101,1,0.9901960784313730,0.2433734939759040
supermarket_by_shopee,https://shopee.co.th/Nescafe-Gold-Crema-%E0%B9%80%E0%B8%99%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B8%94%E0%B9%8C-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%A1%E0%B8%B2-100-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%82%E0%B8%A7%E0%B8%94-i.138020609.7017835673,Official Mall,1200000,4.9,126500,6900,100,within minutes,จังหวัดสมุทรปราการ,25.0,Nescafe Gold Crema เนสกาแฟโกลด์ เครมา 100 กรัม แบบขวด,140,297,4.9,121,79,54,53,1,0.9814814814814820,0.17845117845117800
nestle_foodbeverage_official,https://shopee.co.th/NESCAFE-GOLD-CREMA-%E0%B9%80%E0%B8%99%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F-%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B8%94%E0%B9%8C-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%A1%E0%B8%B2-%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B8%AA%E0%B8%B3%E0%B9%80%E0%B8%A3%E0%B9%87%E0%B8%88%E0%B8%A3%E0%B8%B9%E0%B8%9B-%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%99%E0%B8%8B-180-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-%E0%B8%94%E0%B8%AD%E0%B8%A2%E0%B9%81%E0%B8%9E%E0%B9%87%E0%B8%84-i.164729718.6381600342,Official Mall,83700,4.9,32700,98,99,within minutes,จังหวัดสมุทรปราการ,21.0,NESCAFE GOLD CREMA เนสกาแฟ โกลด์ เครมา กาแฟสำเร็จรูป อินเทนซ 180 กรัม ดอยแพ็ค,199,53,4.9,17,15,6,6,0,1.0,0.11320754716981100
supermarket_by_shopee,https://shopee.co.th/Nescafe-Gold-Crema-%E0%B9%80%E0%B8%99%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B9%8C%E0%B8%94-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%A1%E0%B8%B2-%E0%B8%AA%E0%B8%A1%E0%B8%B9%E0%B8%97-200-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-i.138020609.6217835351,Official Mall,1200000,4.9,126500,6900,100,within minutes,จังหวัดสมุทรปราการ,25.0,Nescafe Gold Crema เนสกาแฟโกล์ด เครมา สมูท 200 กรัม,245,1400,4.9,671,191,330,322,8,0.9757575757575760,0.23
supermarket_by_shopee,https://shopee.co.th/Nescafe-Gold-Crema-%E0%B9%80%E0%B8%99%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B8%94%E0%B9%8C-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%A1%E0%B8%B2-200-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%82%E0%B8%A7%E0%B8%94-i.138020609.3517931275,Official Mall,1200000,4.9,126500,6900,100,within minutes,จังหวัดสมุทรปราการ,25.0,Nescafe Gold Crema เนสกาแฟโกลด์ เครมา 200 กรัม แบบขวด,245,1700,4.9,672,214,312,300,12,0.9615384615384620,0.17647058823529400
nestle_foodbeverage_official,https://shopee.co.th/NESCAFE-GOLD-Crema-Intense-Jar-200g-%E0%B9%80%E0%B8%99%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B8%94%E0%B9%8C%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%A1%E0%B8%B2-%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%99%E0%B8%AA%E0%B9%8C-200-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-1-%E0%B8%82%E0%B8%A7%E0%B8%94-NestleTH-i.164729718.3206619675,Official Mall,83700,4.9,32700,98,99,within minutes,จังหวัดสมุทรปราการ,21.0,NESCAFE GOLD Crema Intense Jar 200g เนสกาแฟโกลด์เครมา อินเทนส์ 200 กรัม 1 ขวด NestleTH,245,2500,4.9,1300,568,540,531,9,0.9833333333333330,0.2124
supermarket_by_shopee,https://shopee.co.th/Nescafe-Gold-%E0%B9%80%E0%B8%99%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B8%94%E0%B9%8C-%E0%B8%94%E0%B8%AD%E0%B8%A2%E0%B9%81%E0%B8%9E%E0%B8%84-180-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-i.138020609.7117833306,Official Mall,1200000,4.9,126500,6900,100,within minutes,จังหวัดสมุทรปราการ,25.0,Nescafe Gold เนสกาแฟโกลด์ ดอยแพค 180 กรัม,249,612,4.9,213,71,90,87,3,0.9666666666666670,0.14215686274509800
nestle_foodbeverage_official,https://shopee.co.th/NESCAFE-GOLD-%E0%B9%80%E0%B8%99%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F-%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B8%94%E0%B9%8C-%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B8%AA%E0%B8%B3%E0%B9%80%E0%B8%A3%E0%B9%87%E0%B8%88%E0%B8%A3%E0%B8%B9%E0%B8%9B-180-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-%E0%B8%94%E0%B8%AD%E0%B8%A2%E0%B9%81%E0%B8%9E%E0%B9%87%E0%B8%84-i.164729718.6981603922,Official Mall,83700,4.9,32700,98,99,within minutes,จังหวัดสมุทรปราการ,21.0,NESCAFE GOLD เนสกาแฟ โกลด์ กาแฟสำเร็จรูป 180 กรัม ดอยแพ็ค,249,89,5.0,27,12,6,6,0,1.0,0.06741573033707870
